,Total Upvotes,Time Stamp,Total Comments,Upvote Ratio,Submission #ID
765,15055,1479131428.0,958,0.63,5cw0wy
238,18742,1479149930.0,820,0.56,5cxnly
9,34955,1479151941.0,1094,0.68,5cxunu
573,15874,1479161876.0,326,0.56,5cyt2u
608,15691,1479183394.0,589,0.61,5d0lrb
674,15426,1479192975.0,477,0.71,5d17on
98,22670,1479211774.0,865,0.66,5d263b
529,16172,1479238590.0,259,0.54,5d4jaa
179,19873,1479243817.0,1906,0.54,5d51u4
945,14344,1479245870.0,192,0.59,5d58wy
909,14491,1479268224.0,1131,0.58,5d75c0
944,14352,1479270251.0,1224,0.66,5d7aq3
800,14901,1479298670.0,639,0.59,5d8vss
908,14499,1479307691.0,943,0.53,5d9jlv
469,16563,1479322299.0,696,0.63,5day0e
845,14720,1479323399.0,824,0.63,5db1o2
461,16641,1479345050.0,646,0.55,5dd0wg
668,15464,1479352862.0,475,0.53,5ddmtv
231,18830,1479387661.0,745,0.59,5dfnob
183,19807,1479403830.0,1457,0.58,5dh2f4
508,16366,1479420571.0,523,0.6,5dip9e
869,14633,1479466825.0,651,0.68,5dlu6w
648,15525,1479472945.0,335,0.62,5dm6pw
715,15246,1479491390.0,391,0.79,5dnrf2
816,14813,1479500829.0,911,0.58,5domzn
436,16891,1479516957.0,561,0.56,5dpzyb
775,15021,1479559204.0,169,0.71,5ds9vo
139,21197,1479566356.0,496,0.63,5dspd1
82,23385,1479580970.0,3291,0.59,5dtubi
677,15427,1479591255.0,1064,0.54,5duoid
230,18852,1479605966.0,632,0.54,5dvsf2
879,14606,1479652603.0,805,0.59,5dy9cv
534,16131,1479670600.0,316,0.54,5dzog7
271,18308,1479728791.0,1902,0.55,5e3mv9
616,15652,1479757844.0,442,0.58,5e63ex
112,22196,1479769455.0,2384,0.59,5e77so
367,17473,1479932416.0,299,0.58,5xbl5b
83,23290,1479942119.0,6576,0.63,5ekdy9
363,17531,1479996390.0,447,0.77,6cvldm
44,27143,1480006978.0,804,0.65,5eop7m
59,25160,1480022102.0,871,0.6,5epype
735,15168,1480036985.0,470,0.52,5er0nh
881,14591,1480041157.0,1259,0.54,5erabz
416,17032,1480120629.0,486,0.56,5ewsul
517,16297,1480153350.0,419,0.57,5eysvr
499,16399,1480199499.0,1801,0.55,5f20er
138,21232,1480209723.0,657,0.57,5f2tix
619,15628,1480212898.0,601,0.63,5f31vg
650,15529,1480219235.0,629,0.53,5f3hlo
582,15812,1480278760.0,1967,0.52,5f7ce5
831,14772,1480310130.0,681,0.56,5f9x1e
539,16090,1480346061.0,2010,0.54,5fc5ak
434,16906,1480354757.0,1295,0.55,5fczd3
86,23120,1480363921.0,1215,0.59,5fdx2s
20,32622,1480367539.0,1321,0.67,5feag5
672,15438,1480388373.0,567,0.55,5fg7eb
292,18088,1480459239.0,750,0.52,5fltt9
640,15551,1480470316.0,1399,0.55,5fmt43
641,15547,1480504851.0,998,0.55,5fp3ct
833,14757,1480524047.0,266,0.84,5fql6i
368,17456,1480528766.0,473,0.84,5ejick
604,15702,1480529420.0,340,0.85,5fr48q
620,15625,1480530109.0,135,0.87,5fr6tp
101,22629,1480533482.0,1948,0.59,5frixo
90,22896,1480533523.0,284,0.75,5frj3s
140,21135,1480534567.0,191,0.79,5frmvy
165,20441,1480535282.0,86,0.81,5frpid
40,27465,1480535926.0,1553,0.61,5frrsz
341,17742,1480536374.0,164,0.83,5frtfd
643,15542,1480536783.0,44,0.85,5fruy2
27,30228,1480537530.0,720,0.6,5frxnw
146,20997,1480537678.0,173,0.79,5fry5h
129,21576,1480537686.0,100,0.77,5fry6m
208,19205,1480537728.0,80,0.82,5fryct
117,21988,1480537763.0,137,0.8,5fryhg
49,26271,1480537862.0,124,0.71,5frytb
52,25908,1480538179.0,108,0.66,5fs00o
41,27333,1480538217.0,411,0.62,5fs05c
260,18413,1480540670.0,114,0.8,5fs8z3
97,22704,1480540750.0,366,0.64,5fs99o
51,26074,1480542516.0,138,0.58,5fsfoo
31,29604,1480542868.0,1376,0.59,5fsgz9
172,20161,1480542883.0,103,0.77,5fsh1f
515,16293,1480543586.0,207,0.8,5fsjr4
587,15797,1480545261.0,71,0.82,5fspra
253,18494,1480546038.0,376,0.75,5fssfv
406,17125,1480547388.0,204,0.78,5fsx4b
107,22459,1480547433.0,271,0.59,5fsxa8
254,18483,1480548843.0,277,0.67,5ft1zf
589,15787,1480549868.0,190,0.83,5ft57o
421,17011,1480549881.0,176,0.8,5ft592
540,16090,1480551623.0,206,0.73,5ftb38
78,23576,1480552546.0,3133,0.55,5fte99
824,14794,1480557854.0,160,0.67,5ftvjm
842,14737,1480589982.0,578,0.72,5fvzx6
76,23969,1480590437.0,1051,0.59,5fw0ud
958,14295,1480593334.0,454,0.85,5fw6on
55,25684,1480593845.0,973,0.64,5fw7rw
314,17970,1480593861.0,243,0.68,5fw7t6
448,16804,1480594027.0,317,0.83,5fw876
494,16433,1480594146.0,78,0.84,5fw8h0
155,20793,1480597299.0,502,0.65,5fwfkb
228,18861,1480598155.0,149,0.7,5fwhu9
895,14568,1480598608.0,73,0.86,5fwj00
131,21553,1480600562.0,474,0.6,5fwo0l
181,19819,1480602216.0,193,0.74,5fwsur
439,16864,1480613828.0,379,0.84,5fxwan
474,16540,1480614305.0,213,0.83,5fxy13
106,22467,1480615181.0,240,0.67,5fy16r
855,14678,1480615359.0,125,0.86,5fy1ud
426,16981,1480618572.0,626,0.83,5fydpa
479,16524,1480620289.0,215,0.58,5fyk1k
